,Car Make,Car Model,Location,Steering wheel,Fuel,Condition,Transmission,Drive,Type,Paint-color,Cylinders,Mileage (km),Year,Used Car Price(KIP),Car Make_E,Car Model_E,Location_E,Fuel_E,Condition_E,Transmission_E,Drive_E,Paint-color_E,Type_E,Steering wheel_E
40,Hyundai,Elantra,VTE,LEFT,benzine,Crash,automatic,rwd,sedan,Black,4,25000,2018,342700000,1,10,3,0,1,1,5,0,8,0
41,Hyundai,Elantra,VTE,LEFT,benzine,GOOD,automatic,rwd,sedan,silver,4,89000,2013,248400000,1,10,3,0,2,1,5,10,8,0
42,Hyundai,Elantra,VTE,LEFT,benzine,VERY GOOD,automatic,rwd,sedan,white,4,36000,2020,395600000,1,10,3,0,3,1,5,11,8,0
43,Hyundai,Elantra,VTE,LEFT,benzine,Crash,automatic,rwd,sedan,gold silver,4,86000,2015,287500000,1,10,3,0,1,1,5,9,8,0
44,Hyundai,Elantra,VTE,LEFT,benzine,Crash,automatic,rwd,sedan,white,4,65000,2015,264500000,1,10,3,0,1,1,5,11,8,0
45,Hyundai,Elantra,VTE,LEFT,benzine,GOOD,automatic,rwd,sedan,white,4,80000,2015,294400000,1,10,3,0,2,1,5,11,8,0
46,Hyundai,Accent,VTE,LEFT,benzine,GOOD,automatic,rwd,sedan,white,4,71000,2013,227700000,1,0,3,0,2,1,5,11,8,0
47,Hyundai,Accent,VTE,LEFT,benzine,GOOD,automatic,rwd,sedan,white,4,49594,2017,285200000,1,0,3,0,2,1,5,11,8,0
48,Hyundai,Accent,VTE,LEFT,benzine,GOOD,automatic,rwd,sedan,white,4,53000,2017,250700000,1,0,3,0,2,1,5,11,8,0
49,Hyundai,Accent,VTE,LEFT,benzine,Crash,automatic,rwd,sedan,silver,4,90000,2015,241500000,1,0,3,0,1,1,5,10,8,0
50,Hyundai,CRETA,VTE,LEFT,diesel,GOOD,automatic,FWD,suv,Black,4,45000,2017,386400000,1,6,3,1,2,1,4,0,9,0
51,Hyundai,CRETA,VTE,LEFT,diesel,Crash,automatic,FWD,suv,silver,4,53000,2016,386400000,1,6,3,1,1,1,4,10,9,0
52,Hyundai,CRETA,VTE,LEFT,diesel,GOOD,automatic,FWD,suv,Orange,4,44000,2018,432400000,1,6,3,1,2,1,4,5,9,0
53,Hyundai,CRETA,VTE,LEFT,diesel,Crash,automatic,FWD,suv,Gray,4,78000,2016,368000000,1,6,3,1,1,1,4,3,9,0
54,Hyundai,CRETA,VTE,LEFT,diesel,Crash,automatic,FWD,suv,Black,4,44000,2018,402500000,1,6,3,1,1,1,4,0,9,0
55,Hyundai,CRETA,VTE,LEFT,diesel,Crash,automatic,FWD,suv,white,4,40000,2018,402500000,1,6,3,1,1,1,4,11,9,0
56,Hyundai,CRETA,VTE,LEFT,diesel,GOOD,Manual,FWD,suv,Blue,4,58000,2015,402500000,1,6,3,1,2,0,4,1,9,0
57,Hyundai,CRETA,VTE,LEFT,diesel,GOOD,Manual,FWD,suv,Black,4,42000,2017,395600000,1,6,3,1,2,0,4,0,9,0
58,Hyundai,GRAND_I,VTE,LEFT,benzine,GOOD,Manual,rwd,hatchback,white,4,42000,2016,154100000,1,13,3,0,2,0,5,11,7,0
59,Hyundai,I10,VTE,LEFT,benzine,Crash,Manual,rwd,hatchback,silver,4,95000,2012,138000000,1,18,3,0,1,0,5,10,7,0
